StudentId,UoPId,2019-20 ENG LEVEL
1605004,921875,L4
1605006,921876,L4
1605009,921877,L4
1605010,921878,L4
1605021,921879,L4
1605034,921880,L4
1605037,921881,L4
1605045,921882,L4
1606008,921885,L4
1606009,921886,L4
1606012,921887,L4
1701002,921888,L4
1701006,921890,L4
1701009,921891,L4
1701012,921892,L4
1702007,921893,L4
1702009,921894,L4
1702013,921895,L4
1702018,921896,L4
1702026,921898,L4
1702039,921899,L4
1702095,921902,L4
1702096,921903,L4
1702098,921904,L4
1702147,921905,L4
1702148,921906,L4
1702164,921907,L4
1702168,921908,L4
1702187,921910,L4
1702209,921911,L4
1702227,921913,L4
1702234,921983,L4
1702238,921984,L4
1702272,921985,L4
1702294,921986,L4
1702309,921989,L4
1702315,921990,L4
1702330,921991,L4
1702331,921992,L4
1703005,921993,L4
1703046,921994,L4
1703049,921995,L4
1703080,921997,L4
1703088,921998,L4
1703097,921999,L4
1703107,922000,L4
1703116,922001,L4
1703125,922002,L4
1703152,922003,L4
1703153,922004,L4
1703155,922005,L4
1705002,922006,L4
1705004,922007,L4
1705012,922008,L4
1705019,922009,L4
1705024,922010,L4
1705031,922011,L4
1705039,922013,L4
1705050,922014,L4
1705071,922017,L4
1705073,922018,L4
1705081,922019,L4
1705085,922020,L4
1706006,922021,L4
1706008,922022,L4
1706010,922023,L4
1706014,922024,L4
1801005,922025,L4
140171,882337,L5
1503004,882352,L5
1503007,882295,L5
1503015,882351,L5
1503019,843229,L5
1503023,882346,L5
1503026,882334,L5
1503028,843231,L5
1503039,843235,L5
1503056,882326,L5
1503081,843247,L5
1503082,882290,L5
1503086,843248,L5
1503092,882291,L5
1503121,843258,L5
1503123,843259,L5
1509001,843299,L5
1513136,843303,L5
1603010,882339,L5
1603014,882289,L5
1603016,882340,L5
1603023,882310,L5
1603032,882282,L5
1603034,882318,L5
1603036,882314,L5
1603038,882309,L5
1603039,882304,L5
1603042,882320,L5
1603049,882321,L5
1603052,882336,L5
1603054,882330,L5
1603055,882299,L5
1603062,882306,L5
1603065,882286,L5
1603067,882341,L5
1603075,882301,L5
1603079,882338,L5
1603080,882280,L5
1603081,882287,L5
1603090,882328,L5
1603114,882302,L5
1603115,882293,L5
1603117,882300,L5
1603118,882319,L5
1603120,882312,L5
1603126,882323,L5
1603140,882305,L5
1603155,882353,L5
1603156,882327,L5
1603159,882333,L5
1603169,882308,L5
1603172,882294,L5
1603173,882298,L5
1603180,882283,L5
1603189,882350,L5
1603196,882348,L5
1606001,882322,L5
1606013,882331,L5
1606016,882345,L5
1606019,882317,L5
1606020,882343,L5
1609001,882344,L5
1609002,882288,L5
1609004,882335,L5
1609005,882279,L5
1609006,882324,L5
1609009,882313,L5
1703014,882296,L5
1703075,882347,L5
1703141,882297,L5
1703142,882285,L5
1706001,882316,L5
1706002,882342,L5
1709006,882284,L5
1709008,882349,L5
1501003,882411,L5
1502081,882408,L5
1502088,882414,L5
1502107,882423,L5
1502110,882416,L5
1502127,882419,L5
1502176,882432,L5
1502200,882357,L5
1504034,882418,L5
1505022,882429,L5
1511007,882428,L5
1511014,882424,L5
1514044,882437,L5
1601010,882415,L5
1602004,882354,L5
1602061,882571,L5
1602125,882430,L5
1602137,882356,L5
1603048,882422,L5
1604085,882355,L5
1604097,882407,L5
1605002,882412,L5
1605011,882427,L5
1701016,882409,L5
1702293,882417,L5
140201,843337,L5
140202,843338,L5
140247,843345,L5
140316,843348,L5
1504007,843355,L5
1504009,882452,L5
1504012,882445,L5
1504015,843357,L5
1504023,882449,L5
1504028,882453,L5
1504029,882439,L5
1504031,882441,L5
1504032,882438,L5
1504033,882472,L5
1506003,843361,L5
1506014,882458,L5
1506015,882454,L5
1506018,882470,L5
1506020,882444,L5
1514042,882448,L5
1514049,882464,L5
1604004,882468,L5
1604019,882446,L5
1604022,882461,L5
1604044,882435,L5
1604048,882436,L5
1604052,882440,L5
1604053,882469,L5
1604072,882473,L5
1604083,882455,L5
1604093,882451,L5
1604094,882442,L5
1604101,882463,L5
1606002,882447,L5
1606004,882467,L5
1704099,882471,L5
1704115,882466,L5
140005,801201,L5
140020,843376,L5
140128,843402,L5
140165,843150,L5
140318,843420,L5
140328,843422,L5
1502002,843425,L5
1502010,882574,L5
1502040,882609,L5
1502048,843426,L5
1502051,843428,L5
1502057,882607,L5
1502071,882554,L5
1502089,882551,L5
1502093,882515,L5
1502096,882526,L5
1502104,882602,L5
1502124,843433,L5
1502126,882596,L5
1502132,882628,L5
1502136,882597,L5
1502138,882566,L5
1502152,882549,L5
1502161,882518,L5
1502164,882562,L5
1502173,882552,L5
1502177,882564,L5
1502181,882606,L5
1502185,882577,L5
1502190,882610,L5
1502192,882533,L5
1502197,882569,L5
1502199,882529,L5
1502208,882517,L5
1502211,882585,L5
1502213,882567,L5
1502216,882629,L5
1502218,882563,L5
1503009,882550,L5
1503012,882542,L5
1503041,843446,L5
1503054,882623,L5
1503087,882553,L5
1503089,843453,L5
1503103,882560,L5
1503106,882531,L5
1503120,882523,L5
1505007,843462,L5
1505012,843464,L5
1505017,882520,L5
1505019,882614,L5
1505021,882588,L5
1506007,882598,L5
1513128,843472,L5
1513135,882561,L5
1513141,882530,L5
1513164,882543,L5
1515023,843497,L5
1601001,882604,L5
1601005,882540,L5
1601007,882568,L5
1601015,882583,L5
1602025,882603,L5
1602072,882559,L5
1602085,882590,L5
1602282,882528,L5
1603006,882622,L5
1603009,882589,L5
1603017,882605,L5
1603022,882625,L5
1603031,882538,L5
1603046,882620,L5
1603064,882546,L5
1603068,882525,L5
1603092,882519,L5
1603107,882576,L5
1603141,882594,L5
1603145,882586,L5
1603149,882545,L5
1603152,882630,L5
1603183,882534,L5
1603186,882541,L5
1603191,882573,L5
1603192,882599,L5
