EXAM_TITLE,MCODE,AY,TERM,STUDENT_ID,EXAM_HALL,SEAT_NO,TIME,DAY_DATE_DISPLAY,DATE,CLASS,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1804040,Exhibition,G14,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM13,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1804051,Exhibition,G16,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM13,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1805017,Exhibition,G20,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM13,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1805020,Exhibition,G21,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM13,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1802006,TB2 A3 R4/5,A2,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM14,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1802015,TB2 A3 R4/5,A5,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM14,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1802035,TB2 A3 R4/5,A8,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM14,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1802036,TB2 A3 R4/5,A9,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM14,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1802037,TB2 A3 R4/5,A10,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM14,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1802039,TB2 A3 R4/5,A11,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM14,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1802069,TB2 A3 R4/5,B8,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM14,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1802084,TB2 A3 R4/5,C3,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM14,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1802098,TB2 A3 R4/5,C7,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM14,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1802174,TB2 A3 R4/5,E2,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM14,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1802183,TB2 A3 R4/5,E4,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM14,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1802187,TB2 A3 R4/5,E6,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM14,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1802192,TB2 A3 R4/5,E8,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM14,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1802202,TB2 A3 R4/5,E9,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM14,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1802217,TB2 A3 R6/7,A4,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM14,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1802262,TB2 A3 R6/7,A10,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM14,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1803009,TB2 A3 R6/7,B7,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM14,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1803065,TB2 A3 R6/7,C6,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM14,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1803100,TB2 A3 R6/7,C10,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM14,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1803202,TB2 B3 R3/4,A4,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM14,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1804003,TB2 B3 R3/4,A8,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM14,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1804032,TB2 B3 R3/4,B1,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM14,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1804035,TB2 B3 R3/4,B3,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM14,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1804041,TB2 B3 R3/4,B5,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM14,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1805032,TB2 B3 R3/4,C6,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM14,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1802013,TB2 A3 R4/5,A4,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM15,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1802064,TB2 A3 R4/5,B7,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM15,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1802096,TB2 A3 R4/5,C5,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM15,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1802099,TB2 A3 R4/5,C8,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM15,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1802107,TB2 A3 R4/5,C9,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM15,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1802113,TB2 A3 R4/5,C10,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM15,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1802138,TB2 A3 R4/5,D5,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM15,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1802152,TB2 A3 R4/5,D7,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM15,,,,
